Fri, Mar 22, 2024
2:10:05 PM

Temperature (K)	B-Field (Gauss)	sample I AB	sample I AD	sample I AC	sample I BD	sample I -AB	sample I -AD	sample I -AC	sample I -BD	Voltage DC	Voltage BC	Voltage BD	Voltage AC	Voltage -DC	Voltage -BC	Voltage -BD	Voltage -AC	
96.0650000	-4238.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0283900	0.0361293	0.0960806	0.0853832	-0.0285216	-0.0370702	-0.0974615	-0.0859668
97.4400000	-33.5099983	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0202692	0.0235719	0.0037999	-0.0030900	-0.0204137	-0.0243846	-0.0049870	0.0024961
98.6900000	4224.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0302666	0.0331289	-0.0857549	-0.0969573	-0.0303736	-0.0339720	0.0845586	0.0964396
100.2750000	-4239.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0302734	0.0383967	0.0968021	0.0853834	-0.0303951	-0.0393267	-0.0981571	-0.0859336
101.5600000	-33.2799988	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0217569	0.0253384	0.0040793	-0.0033462	-0.0218972	-0.0261472	-0.0052631	0.0027864
102.8750000	4222.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0321237	0.0353271	-0.0856783	-0.0975778	-0.0322715	-0.0362027	0.0844925	0.0971051
104.4800000	-4236.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0321879	0.0407049	0.0974753	0.0853303	-0.0323263	-0.0416351	-0.0988064	-0.0858529
105.8350000	-33.2700005	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0233850	0.0272680	0.0044006	-0.0036319	-0.0235329	-0.0280881	-0.0055746	0.0030930
107.0950000	4221.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0341209	0.0376809	-0.0856206	-0.0982717	-0.0342725	-0.0385720	0.0844368	0.0978192
108.7250000	-4235.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0342056	0.0431298	0.0981767	0.0852689	-0.0343670	-0.0440795	-0.0995015	-0.0857785
110.0950000	-33.1599998	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0250678	0.0292722	0.0047174	-0.0039321	-0.0252364	-0.0301046	-0.0058894	0.0034186
111.3300000	4219.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0362012	0.0401294	-0.0855486	-0.0989708	-0.0363633	-0.0410331	0.0843707	0.0985490
112.9250000	-4235.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0363014	0.0456443	0.0988978	0.0852007	-0.0364709	-0.0465954	-0.1002133	-0.0857043
114.2850000	-33.1699982	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0268290	0.0313535	0.0050466	-0.0042442	-0.0270156	-0.0322132	-0.0062197	0.0037389
115.5500000	4219.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0383413	0.0426463	-0.0854721	-0.0996905	-0.0385159	-0.0435706	0.0842888	0.0992711
117.0950000	-4232.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0384504	0.0482183	0.0996209	0.0851182	-0.0386228	-0.0491707	-0.1009313	-0.0856128
118.3600000	-33.3199997	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0286532	0.0335206	0.0054004	-0.0045721	-0.0288348	-0.0343810	-0.0065707	0.0040785
119.6300000	4218.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0405059	0.0452076	-0.0853723	-0.1004137	-0.0406936	-0.0461478	0.0841937	0.1000062
121.2550000	-4232.0000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0406415	0.0508575	0.1003669	0.0850186	-0.0408377	-0.0518311	-0.1016756	-0.0855080
