Mon, Apr 01, 2024
2:22:51 PM

Temperature (K)	B-Field (Gauss)	sample I AB	sample I AD	sample I AC	sample I BD	sample I -AB	sample I -AD	sample I -AC	sample I -BD	Voltage DC	Voltage BC	Voltage BD	Voltage AC	Voltage -DC	Voltage -BC	Voltage -BD	Voltage -AC	
96.0400000	-4223.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0128977	0.0162572	0.0474112	0.0427098	-0.0128765	-0.0169588	-0.0486363	-0.0434438
97.3450000	-33.4900017	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0090686	0.0103618	0.0014500	-0.0015379	-0.0090810	-0.0109640	-0.0024788	0.0007950
98.6250000	4208.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0138044	0.0148546	-0.0433283	-0.0483711	-0.0137734	-0.0154427	0.0423177	0.0476041
100.1550000	-4222.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0138028	0.0173623	0.0477842	0.0427304	-0.0137928	-0.0180556	-0.0489880	-0.0434436
101.4950000	-33.2999992	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0097929	0.0112283	0.0015888	-0.0016638	-0.0098232	-0.0118378	-0.0026115	0.0009312
102.7400000	4207.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0147394	0.0159559	-0.0433229	-0.0487108	-0.0147255	-0.0165522	0.0423248	0.0479630
104.3200000	-4220.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0147565	0.0185241	0.0481464	0.0427232	-0.0147726	-0.0192263	-0.0493410	-0.0434259
105.6250000	-33.2900009	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0105696	0.0121540	0.0017408	-0.0018005	-0.0106129	-0.0127644	-0.0027555	0.0010770
107.0000000	4206.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0157513	0.0171523	-0.0432974	-0.0490688	-0.0157577	-0.0177615	0.0423208	0.0483336
108.5400000	-4219.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0157832	0.0197557	0.0485011	0.0427192	-0.0158123	-0.0204518	-0.0496850	-0.0434102
109.8800000	-33.1500015	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0114292	0.0131692	0.0019032	-0.0019457	-0.0114776	-0.0137836	-0.0029064	0.0012325
111.1150000	4205.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0167926	0.0183758	-0.0432685	-0.0494203	-0.0168046	-0.0189846	0.0423052	0.0487036
112.7200000	-4219.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0168422	0.0210306	0.0488743	0.0427023	-0.0168846	-0.0217303	-0.0500522	-0.0433827
114.1050000	-33.2799988	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0123203	0.0142267	0.0020719	-0.0020996	-0.0123828	-0.0148517	-0.0030689	0.0013950
115.3900000	4204.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0179043	0.0196751	-0.0432365	-0.0498014	-0.0179278	-0.0202995	0.0422854	0.0490903
117.0750000	-4217.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0179876	0.0224053	0.0492696	0.0426751	-0.0180516	-0.0231165	-0.0504499	-0.0433504
118.5050000	-33.3199997	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0133089	0.0153928	0.0022583	-0.0022742	-0.0133797	-0.0160262	-0.0032491	0.0015713
119.7750000	4203.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0190963	0.0210815	-0.0431885	-0.0502003	-0.0191376	-0.0217136	0.0422517	0.0494969
121.3150000	-4216.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0191623	0.0238190	0.0496613	0.0426315	-0.0192405	-0.0245333	-0.0508397	-0.0433063
122.6050000	-33.0400009	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0142926	0.0165573	0.0024368	-0.0024482	-0.0143720	-0.0171932	-0.0034327	0.0017494
123.8650000	4202.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0202622	0.0224474	-0.0431354	-0.0505839	-0.0203124	-0.0230952	0.0422102	0.0498873
125.4300000	-4215.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0203361	0.0252352	0.0500457	0.0425819	-0.0204327	-0.0259560	-0.0512305	-0.0432529
126.7300000	-33.1899986	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0153162	0.0177724	0.0026308	-0.0026358	-0.0154062	-0.0184176	-0.0036217	0.0019359
128.0300000	4201.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0214788	0.0238839	-0.0430713	-0.0509822	-0.0215472	-0.0245476	0.0421551	0.0502936
129.5850000	-4214.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0215753	0.0267217	0.0504513	0.0425259	-0.0216822	-0.0274456	-0.0516310	-0.0431840
130.9350000	-33.2599983	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0164108	0.0190765	0.0028453	-0.0028306	-0.0165115	-0.0197269	-0.0038294	0.0021359
132.1850000	4200.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0227492	0.0253831	-0.0429967	-0.0513947	-0.0228277	-0.0260596	0.0420975	0.0507167
133.7650000	-4213.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0228506	0.0282627	0.0508685	0.0424631	-0.0229757	-0.0289936	-0.0520568	-0.0431180
135.2000000	-33.2799988	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0175672	0.0204556	0.0030665	-0.0030438	-0.0176879	-0.0211227	-0.0040472	0.0023573
136.5550000	4199.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0241128	0.0269990	-0.0429104	-0.0518446	-0.0242123	-0.0276944	0.0420372	0.0511908
138.1250000	-4212.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0242424	0.0299463	0.0513192	0.0423869	-0.0243778	-0.0306812	-0.0525198	-0.0430332
139.5600000	-33.1699982	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0188181	0.0219535	0.0033108	-0.0032776	-0.0189580	-0.0226289	-0.0042890	0.0025929
140.8150000	4198.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0255119	0.0286516	-0.0428275	-0.0523100	-0.0256282	-0.0293686	0.0419654	0.0516679
142.3800000	-4213.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0256564	0.0316577	0.0517881	0.0423212	-0.0258102	-0.0324036	-0.0530105	-0.0429619
143.6800000	-33.0800018	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0200678	0.0234383	0.0035525	-0.0035095	-0.0202116	-0.0241252	-0.0045233	0.0028354
145.0600000	4198.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0269329	0.0303388	-0.0427428	-0.0527913	-0.0270745	-0.0310839	0.0419048	0.0521842
146.7000000	-4211.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0271419	0.0334592	0.0522800	0.0422511	-0.0273198	-0.0342279	-0.0535265	-0.0428733
148.0850000	-33.2099991	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0214633	0.0251152	0.0038303	-0.0037699	-0.0216362	-0.0258194	-0.0047943	0.0031154
149.4800000	4198.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0284979	0.0321895	-0.0426514	-0.0533195	-0.0286714	-0.0329795	0.0418304	0.0527451
151.0350000	-4211.0000000	0.0000500	0.0000500	0.0000500	0.0000500	-0.0000500	-0.0000500	-0.0000500	-0.0000500	0.0287147	0.0353619	0.0527820	0.0421668	-0.0289146	-0.0361557	-0.0540754	-0.0427804
